Reference Key;Default Language;pl
lbl.close;Close;Zamknij
lbl.about;About;O wydarzeniu
msg.event.info.for.visitor.to.participate;As a visitor, you can explore the website. Click to know how to participate in the event.;Jako gość możesz przeglądać stronę. Kliknij, aby dowiedzieć się, jak wziąć udział w wydarzeniu.
msg.event.started.info.to.participate;The event has started. Click to know how to participate in the event.;Wydarzenie się rozpoczęło. Kliknij, aby dowiedzieć się, jak wziąć udział w wydarzeniu.
lbl.visitor;Visitor;uczestnik
msg.view.your.sessions;View your sessions;Zobacz swoje sesje
lbl.show.profile;Show Profile;Pokaż profil
lbl.manage.exhibitor.space;Manage Exhibitor Space;Zarządzaj przestrzenią wystawcy
succ.msg.profile.updated;Profile updated;Profil zaktualizowany
msg.welcome.event.speaker.descrption;You can now join sessions as a speaker, interact with the audience, and do so much more.;Możesz teraz dołączyć do sesji jako prelegent, rozmawiać z publicznością i robić o wiele więcej.
msg.welcome.event.sponsor.description;You can now view yourself as a sponsor and get details about event sponsorship on the website.;Możesz teraz zobaczyć siebie jako sponsora i uzyskać szczegóły dotyczące sponsorowania wydarzenia na stronie.
msg.welcome.event.exhibitor.description;Update your exhibitor profile, schedule meetings with interested attendees, manage leads, and so much more.;Zaktualizuj swój profil wystawcy, umawiaj spotkania z zainteresowanymi uczestnikami, zarządzaj leadami i wiele więcej.
msg.welcome.event.attendee.description;You can now access sessions, ask questions, take part in polls, and do so much more.;Możesz teraz uzyskać dostęp do sesji, zadawać pytania, brać udział w ankietach i robić o wiele więcej.
lbl.manage.your.orders;Manage Your Orders;Zarządzaj swoimi zamówieniami
lbl.manage.your.ticket;Manage Your Ticket;Zarządzaj swoim biletem
lbl.view.live.sessions;View Live Sessions;Zobacz sesje na żywo
lbl.onboard.welcome.event;Welcome to <strong>{eventName}</strong>;Witaj na <strong>{eventName}</strong>
lbl.event.team;Event Team;Zespół wydarzenia
msg.attendee.during.event.onboard.description;You can now join live sessions, ask questions, take part in polls, and do so much more.;Możesz teraz dołączyć do sesji na żywo, zadawać pytania, brać udział w ankietach i robić o wiele więcej.
lbl.booth.type;Booth Type;Typ stoiska
lbl.access.exhibitor.space;Access Exhibitor Space;Wejdź do przestrzeni wystawcy
lbl.application.review;Application Review;Przegląd zgłoszenia
msg.subheader.application.review;During the review process the event team will evaluate your request in order to approve it;Podczas weryfikacji zespół wydarzenia oceni Twoją prośbę, aby ją zatwierdzić
msg.subheader.access.exhibitor.space;Once your request is approved you'll get an email to access the Exhibitor Space on the website where you can manage the members in your booth and use other options for exhibiting at the event;Po zatwierdzeniu zgłoszenia otrzymasz e-mail z dostępem do przestrzeni wystawcy na stronie, gdzie możesz zarządzać członkami swojego stoiska i korzystać z innych opcji wystawiania się na wydarzeniu
lbl.manage.exhibitor.profile;Manage Exhibitor Profile;Zarządzaj profilem wystawcy
msg.subheader.manage.exhibitor.profile;Keep your exhibitor page up-to-date by managing your profile information and uploading necessary materials such as collaterals to use when meeting with booth visitors;Aktualizuj stronę wystawcy, zarządzając profilem i dodając potrzebne materiały do wykorzystania podczas spotkań ze zwiedzającymi stoisko
lbl.exhibitor.information;Exhibitor Information;Informacje o wystawcy
msg.attendee.during.event.onboard.description;You can now join live sessions, ask questions, take part in polls, and do so much more.;Możesz teraz dołączyć do sesji na żywo, zadawać pytania, brać udział w ankietach i robić o wiele więcej.
lbl.count.polls;{count} Polls;{count} ankiet
lbl.count.qns;{count} Questions;{count} pytań
lbl.count.handouts;{count} Handouts;{count} materiały
lbl.count.poll;{count} Poll;{count} głosowanie
lbl.count.qn;{count} Question;{count} pytanie
lbl.count.handout;{count} Handout;{count} materiały
ctmy.msg.ask.question;Ask question;Zadaj pytanie
msg.welcome.event.exhibitor.lead.disabled.description;Update your exhibitor profile, schedule meetings with interested attendees, and so much more.;Zaktualizuj swój profil wystawcy, umawiaj spotkania z zainteresowanymi uczestnikami i wiele więcej.
lbl.view.exhibitor.profile;View Exhibitor Profile;Zobacz profil wystawcy
lbl.my.exhibitor.details;My Exhibitor Details;Moje dane wystawcy
lbl.in.review;In Review;W trakcie przeglądu
lbl.deleted;Deleted;Usunięto
lbl.request.status;Request Status;Status żądania
lbl.company.details;Company Details;Dane firmy
lbl.contact.details;Contact Details;Dane kontaktowe
msg.upload.widget;Gallery widget;Widżet galerii
msg.gallery.desc;Enter a description for the gallery;Wprowadź opis galerii
lbl.your.form.responses;Your Form Responses;Twoje odpowiedzi w formularzu
lbl.view.response;View Response;Zobacz odpowiedź
lbl.edit.response;Edit Response;Edytuj odpowiedź
msg.my.form.responses.with.cnt;My form responses ({count});Moje odpowiedzi w formularzu ({count})
msg.submitted.on.date;Submitted on: {formattedDate};Przesłano dnia: {formattedDate}
msg.succ.form.response.updated;Form response updated;Odpowiedź formularza zaktualizowana
abbreviation.not.available;N/A;Nie dotyczy
lbl.true;True;Prawda
lbl.false;False;Fałsz
msg.form.close.header;Form closed;Formularz zamknięty
msg.form.removed;Form removed;Formularz usunięty
sign.to.acces.this.form;Sign in to access form;Zaloguj się, aby uzyskać dostęp do formularza
msg.form.sign.in.sub;Sign in to the website to access or fill out this form;Zaloguj się na stronie, aby uzyskać dostęp lub wypełnić ten formularz
lbl.sign.in;Sign In;Zaloguj się
msg.form.close.subheader;Please get in touch with the event organizer for more details;Skontaktuj się z organizatorem wydarzenia, aby uzyskać więcej informacji
msg.form.removed.sub;The form linked to this button has been removed. Please contact the event organizer for more details.;Formularz powiązany z tym przyciskiem został usunięty. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.error.form.response.update;Sorry, you don't have permission to edit your response anymore.;Przepraszam, nie masz już uprawnień do edycji swojej odpowiedzi.
msg.error.form.response.user.expiry;Your response couldn't be submitted as you reached your response limit;Nie możesz przesłać odpowiedzi, osiągnąłeś limit odpowiedzi
msg.error.form.response.create;Your response couldn't be submitted as the form has expired;Twoja odpowiedź nie została wysłana, ponieważ formularz wygasł
msg.subheader.resp.limit.expiry.per.user;You have reached the maximum limit for submitting responses through this form. Please contact the event organizer for more details.;Osiągnąłeś maksymalny limit wysyłania odpowiedzi przez ten formularz. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.info.form.resp.tab;To view form responses you've submitted, click your <b>Profile</b> icon and select the <a href={formResponseLink}><b>Your form responses</b></a> option.;Aby zobaczyć przesłane odpowiedzi formularza, kliknij ikonę <b>Profil</b> i wybierz opcję <a href={formResponseLink}><b>Twoje odpowiedzi formularza</b></a>.
msg.response.submitted.subheader;Your response has been submitted;Twoja odpowiedź została przesłana
msg.response.submitted.header;Thank you!;Dziękuję!
lbl.view.exhibitor.profile;View Exhibitor Profile;Zobacz profil wystawcy
lbl.gallery;Gallery;Galeria
lbl.requested.to;Requested To;Poproszono o
msg.tickets.not.yet.configured.event.title.header;There are no tickets for this event;Brak biletów na to wydarzenie
msg.get.in.touch.with.event.organizer.desc.subheader;Please get in touch with the event organizer to get more details;Skontaktuj się z organizatorem wydarzenia, aby uzyskać więcej informacji
msg.error.lead.facility.unavailable.title;Lead scanning unavailable for booth;Skanowanie leadów niedostępne dla stoiska
msg.error.lead.facility.unavailable.desc;Please get in touch with the event organizer for more details about this facility;Skontaktuj się z organizatorem wydarzenia, aby uzyskać więcej informacji o tym obiekcie
msg.search.photo.with.face.recognition;Face Recognition in Search;Rozpoznawanie twarzy w wyszukiwarce
msg.capture.live.photo.for.search;Capture live photo for search;Zrób zdjęcie na żywo do wyszukiwania
upload.a.photo;Upload a photo;Prześlij zdjęcie
msg.err.album.face.search.img.not.found;No images match your search.;Brak obrazów pasujących do wyszukiwania.
msg.photos.count.for.search.image;{count} photos match your search.;{count} zdjęć pasuje do Twojego wyszukiwania.
msg.photo.count.for.search.image;1 photo matches your search.;1 zdjęcie pasuje do Twojego wyszukiwania.
msg.payment.options.not.found;There are no payment options available at the moment. Please try buying a ticket later or contact the event organizer for more details.;Obecnie brak dostępnych metod płatności. Spróbuj kupić bilet później lub skontaktuj się z organizatorem wydarzenia po więcej informacji.
lbl.search.again;Search Again;Szukaj ponownie
lbl.retake;Retake;Powtórz
lbl.upload.again;Upload Again;Prześlij ponownie
lbl.book.a.ticket;Book a Ticket;Zarezerwuj bilet
msg.resend.ticket.to.attendee.tooltip;Resend ticket to attendee;Wyślij ponownie bilet do uczestnika
msg.no.face.found.in.search.tooltip;No faces detected in the images from this album.;Nie wykryto twarzy na zdjęciach z tego albumu.
msg.face.search.images.syncing.progress;Image sync for face search is in progress. The search will be available once the sync is complete.;Trwa synchronizacja zdjęcia do wyszukiwania twarzy. Wyszukiwanie będzie dostępne po zakończeniu synchronizacji.
msg.use.profile.picture.for.search;Use profile picture for search;Użyj zdjęcia profilowego do wyszukiwania
lbl.social.wall;Social Wall;Ściana społecznościowa
lbl.make.post;Make a Post;Dodaj post
lbl.edit.post;Edit Post;Edytuj post
msg.create.post.placeholder;Share what's on your mind;Podziel się tym, co myślisz
lbl.add.photo;Add Photo;Dodaj zdjęcie
msg.error.text.feed.msg.empty;Message cannot be empty;Wiadomość nie może być pusta
msg.err.event.interests.max.selected;Only a maximum of {count} interests can be selected;Możesz wybrać maksymalnie {count} zainteresowań
msg.error.text.feed.msg.empty;Message cannot be empty;Wiadomość nie może być pusta
lbl.add.booth.member;Add Booth Member;Dodaj członka stoiska
lbl.bg.image;Background Image;Obraz tła
lbl.add.member;Add Member;Dodaj uczestnika
lbl.lead.added.by;Lead Added By;Dodane przez
lbl.all.members;All Members;wszyscy uczestnicy
lbl.specific.members;Specific Members;Wybrani uczestnicy
lbl.select.booth.members;Select Booth Members;Wybierz członków stoiska
lbl.specific;Specific;Szczegółowy
lbl.select.lead.quality;Select Lead Quality;Wybierz jakość leada
lbl.role;Role;Role
lbl.select.category;Select Category;Wybierz kategorię
lbl.ticket.number;Ticket#{ticketNumber};Bilet#{ticketNumber}
msg.sign.in.view.resp;Sign in to view form responses you've submitted;Zaloguj się, aby zobaczyć wysłane odpowiedzi formularza
msg.click.to.verify;Click to verify;Kliknij, aby zweryfikować
msg.succ.verification.success;Verification success;Weryfikacja udana
msg.error.verification.failed;Verification failed. Please try again.;Weryfikacja nie powiodła się. Spróbuj ponownie.
msg.solve.captcha.to.proceed;Please solve the CAPTCHA to proceed;Rozwiąż CAPTCHA, aby kontynuować
lbl.enter.answer;Enter the Answer;Wpisz odpowiedź
lbl.audio;Audio;Audio
lbl.audio.player;Audio Player;Odtwarzacz audio
lbl.image;Image;Obraz
lbl.bookmark.exhibitor;Bookmark Exhibitor;Dodaj do zakładek wystawcę
lbl.remove.exhibitor.bookmark;Remove Exhibitor Bookmark;Usuń zakładkę wystawcy
lbl.total.game.points;Total Game Points;Łączna liczba punktów w grze
msg.click.play.to.listen.audio;Click play to listen to the audio;Kliknij odtwórz, aby posłuchać nagrania
msg.error.invalid.captcha;Incorrect CAPTCHA answer;Nieprawidłowa odpowiedź CAPTCHA
msg.error.captcha.field.required;Please provide answer for the CAPTCHA field;Podaj odpowiedź w polu CAPTCHA
msg.error.captcha.expired;CAPTCHA expired. Please try again.;CAPTCHA wygasła. Spróbuj ponownie.
msg.error.captcha.value.invalid;Please enter a valid CAPTCHA value;Wprowadź poprawną wartość CAPTCHA
msg.shared.form.page.deleted.sub.header;This form is no longer available. Please contact the event organizer for more details.;Ten formularz nie jest już dostępny. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.form.deleted.page.header;Form not found;Formularz nie znaleziony
msg.form.submission.limit.reached.header;Submission limit reached;Osiągnięto limit zgłoszeń
msg.form.resp.limit.one.per.user.header;Response already submitted;Odpowiedź już została przesłana
msg.form.resp.limit.one.per.user.subheader;This form can only be filled once. Please contact the event organizer for more details.;Ten formularz możesz wypełnić tylko raz. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.empty.buy.tkt.title;No ticket found;Nie znaleziono biletu
msg.empty.sign.in.title;You are signed out;Zostałeś wylogowany
msg.empty.sign.in.desc;Sign in to use the app;Zaloguj się, aby korzystać z aplikacji
msg.empty.buy.tkt.desc;Get a ticket to continue;Zdobądź bilet, aby kontynuować
lbl.view.map;View Map;Zobacz mapę
msg.link.copied.to.clipboard;Link copied to clipboard.;Link skopiowany do schowka.
msg.upload.photo.for.search;Upload a photo for search;Prześlij zdjęcie do wyszukiwania
lbl.submit.inquiry;Submit Inquiry;Wyślij zapytanie
msg.error.inquiry.submitted;Sorry, unable to submit your inquiry. Please try again later.;Przepraszam, nie udało się wysłać Twojego zapytania. Spróbuj ponownie później.
msg.success.inquiry.submitted;Inquiry submitted;Zapytanie wysłane
msg.error.inquiry.msg.empty;Please enter the inquiry;Wprowadź zapytanie
lbl.benefits;Benefits;Korzyści
lbl.message;Message;Wiadomość
msg.error.inquiry.msg.long;Please enter a shorter inquiry;Proszę wpisać krótsze zapytanie
msg.error.inquiry.msg.invalid;The inquiry message can't include < and >;Wiadomość zapytania nie może zawierać < i >
msg.youtube.sample.placeholder;https://www.youtube.com/xyz (or) https://www.youtube.com/watch?v=xyz;https://www.youtube.com/xyz (lub) https://www.youtube.com/watch?v=xyz
lbl.download.chats;Download Chats;Pobierz czaty
msg.attendee.information.not.required.detail.help.text;Attendee information not required for <strong>{formattedHiddenTicketClassNamesString}</strong>;Informacje uczestnika nie są wymagane dla <strong>{formattedHiddenTicketClassNamesString}</strong>
lbl.enter.social.site.url;Enter a {socialSite} URL;Wprowadź adres URL do {socialSite}
msg.valid.youtube.channel;The YouTube URL you entered is invalid;Wprowadzony adres URL YouTube jest nieprawidłowy
msg.youtube.channel.too.long;The YouTube URL cannot exceed 75 characters;Adres URL YouTube nie może mieć więcej niż 75 znaków
lbl.user.note;Note;Notatka
lbl.description;Description;Opis
lbl.title;Title;Tytuł
lbl.add.note;Add Note;Dodaj notatkę
lbl.edit.note;Edit Note;Edytuj notatkę
lbl.module.note.title;{moduleName} Note;Notatka {moduleName}
lbl.module.notes.title;{moduleName} Notes;Notatki {moduleName}
lbl.my.briefcase;My Briefcase;Moja teczka
lbl.notes;Notes;Notatki
lbl.added.on;Added On;Dodano
msg.notes.files.and.photos.help.text;Keep track of your notes, files and photos in one place;Zarządzaj swoimi notatkami, plikami i zdjęciami w jednym miejscu
msg.my.notes.empty.title;No notes yet;Brak notatek
msg.my.notes.empty.subtitle;Notes you create will be displayed here;Twoje notatki pojawią się tutaj
lbl.number.of.notes;+{noOfNotes} Notes;+{noOfNotes} notatki
msg.add.new.note;Add new note;Dodaj nową notatkę
msg.success.note.added;Note added;Dodano notatkę
lbl.favorite.sessions;Favorite Sessions;Ulubione sesje
lbl.add.to.favorite.sessions;Add to Favorite Sessions;Dodaj do ulubionych sesji
lbl.remove.from.favorite.sessions;Remove from Favorite Sessions;Usuń z ulubionych sesji
msg.booth.member.details;Booth member details;Szczegóły członka stoiska
msg.success.notes.export;Notes exported;Notatki wyeksportowane
msg.error.user.note.export;Sorry, we couldn't export your notes. Please try again later.;Przepraszam, nie udało się wyeksportować Twoich notatek. Spróbuj ponownie później.
msg.error.user.note.content.empty;Note content cannot be empty;Treść notatki nie może być pusta
msg.error.user.note.title.too.long;Note title can't exceed 255 characters;Tytuł notatki nie może przekraczać 255 znaków
msg.error.user.note.content.too.long;Note content can't exceed 10000 characters;Treść notatki nie może przekraczać 10000 znaków
msg.error.user.note.title.not.valid;"The note title can't include the following characters: "" < >";"Tytuł notatki nie może zawierać następujących znaków: "" < >"
msg.success.note.deleted;Note deleted;Notatka usunięta
msg.success.note.updated;Note updated;Notatka zaktualizowana
lbl.session.notes;Session Notes;Notatki z sesji
lbl.exhibitor.notes;Exhibitor Notes;Notatki wystawcy
msg.module.deleted.help.text;{moduleName} deleted;{moduleName} usunięty
lbl.back.to.sessions;Back to Sessions;Wróć do sesji
lbl.back.to.selected.exhibitor;Back to {exhibitorName};Wróć do {exhibitorName}
lbl.my.notes;My Notes;Moje notatki
lbl.purpose;Purpose;Cel
lbl.sponsors;Sponsors;Sponsorzy
msg.enter.the.text.see.on.the.image;Enter the text you see on the image;Wpisz tekst z obrazka
lbl.modified.on;Modified On;Zmodyfikowano
lbl.my.likes;My Likes;Moje polubienia
lbl.my.uploads;My Uploads;Moje przesłane
msg.my.gallery.likes.empty;You haven't liked any images in the gallery. Begin building your collection by exploring and liking photos.;Nie polubiłeś żadnych zdjęć w galerii. Zacznij budować swoją kolekcję, przeglądając i lajkując zdjęcia.
msg.my.gallery.upload.empty;Your gallery is empty. Start by uploading a photo.;Twoja galeria jest pusta. Zacznij od przesłania zdjęcia.
msg.sent.download.link.desc;We've just emailed a download link to <strong>{emailId}</strong>.<br>Click the link in the email to download gallery photos in a zipped file. This link will be valid for 14 days.;Wysłaliśmy właśnie link do pobrania na adres <strong>{emailId}</strong>.<br>Kliknij link w mailu, aby pobrać zdjęcia z galerii w spakowanym pliku. Link będzie ważny przez 14 dni.
msg.error.bulk.download;Sorry, the gallery couldn't be downloaded. Please try again later.;Przepraszam, nie udało się pobrać galerii. Spróbuj ponownie później.
lbl.gallery.count;Gallery {count};Galeria {count}
msg.module.hidden.help.text;{moduleName} unavailable;{moduleName} niedostępny
lbl.total.amount.for.refund;Total Refund Amount;Łączna kwota zwrotu
lbl.associated.ticket.id;Associated Ticket ID;Powiązany ID biletu
lbl.total.tickets.amount;Total Tickets Amount;Łączna liczba biletów
lbl.total.sessions.amount;Total Sessions Amount;Łączna liczba sesji
lbl.associated.sessions;Associated Sessions;Powiązane sesje
lbl.no.of.sessions;No. of Sessions;Liczba sesji
lbl.no.of.sessions.refunded;Total Sessions Refunded;Liczba zwróconych sesji
msg.session.registration.canceled;This session registration has been canceled;Rejestracja na to wydarzenie została anulowana
lbl.select.sessions;Select Sessions;Wybierz sesje
lbl.picked.sessions;Picked Sessions;Wybrane sesje
lbl.other.sessions;Other Sessions;Inne sesje
lbl.associate.with.tickets;Associate with Tickets;Powiąż z biletami
lbl.associate.session.with.ticket;Associate Sessions with Tickets;Powiąż sesje z biletami
msg.error.select.ticket;Please select a ticket;Wybierz bilet
lbl.session;Session;Sesja
msg.form.button.disabled.tooltip;This button will be enabled in the live form;Ten przycisk będzie aktywny w formularzu na żywo
lbl.game.total.points;{gameTotalPoints} Points;{gameTotalPoints} punktów
lbl.game.tasks;Game Tasks;Zadania gry
lbl.gamification;Gamification;Gamifikacja
lbl.leaderboard;Leaderboard;Tablica wyników
lbl.event.check.in;Event Check-In;Rejestracja na wydarzenie
lbl.points.scored;Points Scored;Zdobyte punkty
msg.game.points.leaderboard.empty;The leaderboard is empty, but it won't be for long!;Tablica wyników jest pusta, ale wkrótce się zapełni!
lbl.user.info;User Info;Informacje o użytkowniku
lbl.download.expo.collateral;Download Exhibitor Collateral;Pobierz materiały wystawcy
msg.schedule.meeting.with.exhibitor;Schedule meeting with exhibitor;Umów spotkanie z wystawcą
lbl.upload.profile.image;Upload Profile Image;Prześlij zdjęcie profilowe
lbl.zone.check.in;Zone Check-In;Zameldowanie w strefie
lbl.chat.with.attendee;Chat with Attendee;Czat z uczestnikiem
msg.meet.with.attendee;Meet with attendee;Spotkaj się z uczestnikiem
msg.congrats.to.game.winners;Congratulations <br/> to the Winners;Gratulacje <br/> dla zwycięzców
msg.game.leaderboard.reset.organizing.team;All scores have been reset to zero. Start earning points again!;Wszystkie wyniki zostały zresetowane do zera. Zacznij ponownie zdobywać punkty!
msg.most.active.participants;"Most active participants &#127881;";"Najaktywniejsi uczestnicy &#127881;"
lbl.my.activity;My Activity;Moja aktywność
lbl.points.distribution;Points Distribution;Podział punktów
lbl.view.rewards;View Rewards;Zobacz nagrody
lbl.congratulations;Congratulations;Gratulacje
msg.to.the.winners;To the Winners;Do zwycięzców
lbl.reward.for.winners;Rewards for Winners;Nagrody dla zwycięzców
msg.winner.count;Winner {count};Zwycięzca {count}
lbl.rank.no;Rank {rankNo};Miejsce {rankNo}
msg.no.game.task.activities.found;Oops! It looks like there aren't any activities available right now.;Ups! Wygląda na to, że nie ma teraz dostępnych aktywności.
msg.no.game.task.points.alloted;Game tasks are yet to be alloted by the event team;Zadania gry nie zostały jeszcze przydzielone przez zespół wydarzenia
lbl.max.occurrence;Max Occurrence;Maksymalna liczba wystąpień
lbl.max.alloted.points;Max Alloted Points;Maksymalna liczba punktów
msg.game.points.earned.notify.info;<strong>{points} points</strong> earned for <strong>{taskTitle}</strong>! Your total score is now <strong>{totalPoints}</strong>.;<strong>{points} punktów</strong> zdobyłeś za <strong>{taskTitle}</strong>! Twój łączny wynik to teraz <strong>{totalPoints}</strong>.
lbl.dont.show.again;Don't Show Again;Nie pokazuj ponownie
msg.gamification.ended.info;Thanks for playing! Winners will be announced shortly.;Dzięki za udział! Zwycięzcy zostaną ogłoszeni wkrótce.
lbl.join.a.session;Join a Session;Dołącz do sesji
lbl.bookmark.a.session;Bookmark a Session;Dodaj do zakładek sesję
lbl.engage.session.qa;Engage in Session Q&A;Weź udział w sesji pytań i odpowiedzi
lbl.engage.session.poll;Engage in Session Poll;Weź udział w ankiecie sesji
lbl.engage.session.chat;Engage in Session Chat;Dołącz do czatu sesji
lbl.share.session.feedback;Share Session Feedback;Przekaż opinię o sesji
lbl.download.session.handout;Download Session Handout;Pobierz materiały sesji
lbl.enter.event.space;Enter Event Space;Wejdź do przestrzeni wydarzenia
lbl.submit.exhibitor.inquiry;Submit Exhibitor Inquiry;Wyślij zapytanie wystawcy
lbl.meet.with.exhibitor;Meet with Exhibitor;Spotkaj się z wystawcą
lbl.badge.scan.exhibitor;Badge Scan by Exhibitor;Skanowanie identyfikatora przez wystawcę
lbl.add.profile.bio;Add Profile Bio;Dodaj bio profilu
lbl.engage.event.poll;Engage in Event Poll;Weź udział w ankiecie wydarzenia
lbl.comment.event.announcement;Comment on Event Announcement;Skomentuj ogłoszenie wydarzenia
lbl.post.social.wall;Post on Social Wall;Opublikuj na ścianie społeczności
lbl.comment.social.wall;Comment on Social Wall;Skomentuj na tablicy społeczności
lbl.engage.discussion.channel;Engage in Discussion Channel;Dołącz do kanału dyskusji
lbl.enter.virtual.lounge;Enter Virtual Lounge;Wejdź do strefy lounge
msg.after.session.talk.questions.empty.header;No questions asked;Bez pytań
msg.participants.tab.empty;Participants from our event will be listed here;Uczestnicy z naszego wydarzenia będą tu widoczni
msg.gamification.ended;Gamification has ended;Gamifikacja zakończona
lbl.occurrence;Occurrence;wystąpienie
lbl.hide.profile.public;Hide Your Profile;Ukryj swój profil
msg.hide.profile.public.confirm;You cannot engage in Networking and participate in Gamification if your profile visibility is turned off. Are you sure you want to hide your profile?;Nie możesz korzystać z networkingu ani brać udziału w gamifikacji, jeśli widoczność Twojego profilu jest wyłączona. Na pewno chcesz ukryć swój profil?
lbl.game.leaderboard;Game Leaderboard;Tablica wyników gry
msg.participate.gamification.after.profile.public;You are not a part of this leaderboard as your profile is set to private. To engage in gamification activities, change your profile visibility settings.;Nie jesteś uczestnikiem tej tablicy wyników, ponieważ Twój profil jest prywatny. Aby brać udział w aktywnościach grywalizacyjnych, zmień ustawienia widoczności profilu.
lbl.change.privacy.pref;Change Privacy Preference;Zmień preferencje prywatności
lbl.game.participant;Game Participant;uczestnik wydarzenia
msg.booth.admin.permissions;Update profile, invite and manage members, capture and manage leads, export lead report, manage inquires.;Aktualizuj profil, zapraszaj i zarządzaj członkami, pozyskuj i zarządzaj leadami, eksportuj raport leadów, zarządzaj zapytaniami.
msg.booth.member.permissions;Update profile, capture and manage leads, manage inquires.;Aktualizuj profil, pozyskuj i zarządzaj leadami, zarządzaj zapytaniami.
lbl.contacts;Contacts;Kontakty
lbl.scan.badge;Scan Badge;Zeskanuj identyfikator
msg.scan.badge.again;Scan again;Skanuj ponownie
msg.download.contact;Download contact;Pobierz kontakt
msg.delete.contact;Delete contact;Usuń kontakt
msg.exchange.contact;Exchange contact;Wymień kontakt
msg.success.delete.contact;Contact deleted;Kontakt usunięty
msg.success.exchange.contact;Contact exchanged;Wymieniłeś kontakt
msg.subheader.contacts.empty;Scan badges at venue to add contacts;Skanuj identyfikatory na miejscu, aby dodać kontakty
msg.contacts.search.empty;No contacts match your search criteria;Brak kontaktów spełniających kryteria wyszukiwania
msg.scan.badge.error.invalid.qrcode;The QR code you scanned is invalid.;Zeskanowany kod QR jest nieprawidłowy.
lbl.files;Files;Pliki
msg.user.file.empty;No files added yet;Nie dodano jeszcze plików
lbl.session.handouts;Session Handouts;Materiały sesji
lbl.exhibitor.collaterals;Exhibitor Collaterals;Materiały wystawcy
lbl.file;File;Plik
lbl.added.on;Added On;Dodano
msg.success.file.added;File added to briefcase;Plik dodany do aktówki
lbl.remove.file;Remove File;Usuń plik
msg.success.file.removed;File removed from briefcase;Plik usunięty z aktówki
msg.success.favorite.added;Added to favorites;Dodano do ulubionych
msg.success.favorite.removed;Removed from favorites;Usunięto z ulubionych
msg.user.favorite.duplicate;You have already added this {moduleName} to your favorite list;Dodałeś już ten {moduleName} do swojej listy ulubionych
lbl.favorites;Favorites;Ulubione
msg.remove.from.favorite;Remove from favorites;Usuń z ulubionych
msg.my.favorites.empty.title;Your favorites list is currently empty;Twoja lista ulubionych jest pusta
msg.success.user.favorite.export;Favorites exported;Ulubione wyeksportowane
msg.error.user.favorite.export;Sorry, we couldn't export your favorites. Please try again later.;Przepraszam, nie udało się wyeksportować ulubionych. Spróbuj ponownie później.
lbl.module.details.title;{moduleName} Details;Szczegóły {moduleName}
lbl.add.sponsor.favorites;Add Sponsor to Favorites;Dodaj sponsora do ulubionych
lbl.add.exhibitor.favorites;Add Exhibitor to Favorites;Dodaj wystawcę do ulubionych
lbl.add.speaker.favorites;Add Speaker to Favorites;Dodaj prelegenta do ulubionych
lbl.add.participant.favorites;Add Participant to Favorites;Dodaj uczestnika do ulubionych
lbl.like.gallery.image;Like a Photo in the Gallery;Polub zdjęcie w galerii
msg.add.file.to.briefcase;Add file to briefcase;Dodaj plik do aktówki
msg.remove.file.from.briefcase;Remove file from briefcase;Usuń plik z aktówki
lbl.company.and.role;Company & Role;Firma i stanowisko
msg.success.contact.shared;Contact shared;Udostępniono kontakt
lbl.share.your.contact;Share Your Contact;Udostępnij swój kontakt
lbl.contact.sharing;Contact Sharing;Udostępnianie kontaktu
msg.contact.sharing.settings.desc;Allow event participants to share contact by scanning your badge;Pozwól uczestnikom wydarzenia udostępnić kontakt, skanując Twój identyfikator
msg.scan.badge.error.header.invalid.qrcode;Invalid QR code;Nieprawidłowy kod QR
msg.scan.badge.error.header.sharing.off;Contact sharing turned off;Udostępnianie kontaktów wyłączone
msg.scan.badge.error.sharing.off;Kindly enable contact sharing in privacy preferences to scan badges.;Włącz udostępnianie kontaktów w preferencjach prywatności, aby skanować identyfikatory.
msg.change.scan.preference;Change preference;Zmień preferencje
msg.promotional.email.user.pref.enabled;Promotional emails preference is enabled;Włączono preferencję e-maili promocyjnych
msg.promotional.email.user.pref.disabled;Promotional emails preference is disabled;Preferencja otrzymywania e-maili promocyjnych jest wyłączona
msg.off.email.pref.mails;Get notified about event promotions, offers, and other related marketing updates.;Otrzymuj powiadomienia o promocjach, ofertach i innych aktualizacjach marketingowych dotyczących wydarzeń.
msg.pre.approval.or.general.tooltip;Your order can't include tickets that require approval and ready-to-register tickets at the same time.;Twoje zamówienie nie może zawierać jednocześnie biletów wymagających akceptacji i biletów gotowych do rejestracji.
requires.approval.ticket;Approval required;Wymagana akceptacja
ph.event.name;{eventName};{eventName}
msg.live.session.cannot.rehearse;Session rehearsal is not allowed for live sessions;Próba sesji nie jest dozwolona dla sesji na żywo
msg.error.child.tickets.not.associated;Primary ticket not linked with this companion ticket.;Bilet główny nie jest powiązany z tym biletem towarzyszącym.
lbl.primary.ticket;Primary Ticket;Bilet główny
lbl.companion.ticket;Companion Ticket;Bilet towarzyszący
