Reference Key;Default Language;pl
lbl.select.category;Select Category;
lbl.ticket.number;Ticket#{ticketNumber};
msg.sign.in.view.resp;Sign in to view form responses you've submitted;
msg.click.to.verify;Click to verify;
msg.succ.verification.success;Verification success;
msg.error.verification.failed;Verification failed. Please try again.;
msg.solve.captcha.to.proceed;Please solve the CAPTCHA to proceed;
lbl.enter.answer;Enter the Answer;
lbl.audio;Audio;
lbl.audio.player;Audio Player;
lbl.image;Image;
lbl.bookmark.exhibitor;Bookmark Exhibitor;
lbl.remove.exhibitor.bookmark;Remove Exhibitor Bookmark;
lbl.total.game.points;Total Game Points;
msg.click.play.to.listen.audio;Click play to listen to the audio;
msg.error.invalid.captcha;Incorrect CAPTCHA answer;
msg.error.captcha.field.required;Please provide answer for the CAPTCHA field;
msg.error.captcha.expired;CAPTCHA expired. Please try again.;
msg.error.captcha.value.invalid;Please enter a valid CAPTCHA value;
msg.shared.form.page.deleted.sub.header;This form is no longer available. Please contact the event organizer for more details.;
msg.form.deleted.page.header;Form not found;
msg.form.submission.limit.reached.header;Submission limit reached;
msg.form.resp.limit.one.per.user.header;Response already submitted;
msg.form.resp.limit.one.per.user.subheader;This form can only be filled once. Please contact the event organizer for more details.;
msg.empty.buy.tkt.title;No ticket found;
msg.empty.sign.in.title;You are signed out;
msg.empty.sign.in.desc;Sign in to use the app;
msg.empty.buy.tkt.desc;Get a ticket to continue;
lbl.view.map;View Map;
msg.link.copied.to.clipboard;Link copied to clipboard.;
msg.upload.photo.for.search;Upload a photo for search;
lbl.submit.inquiry;Submit Inquiry;
msg.error.inquiry.submitted;Sorry, unable to submit your inquiry. Please try again later.;
msg.success.inquiry.submitted;Inquiry submitted;
msg.error.inquiry.msg.empty;Please enter the inquiry;
lbl.benefits;Benefits;
lbl.message;Message;
msg.error.inquiry.msg.long;Please enter a shorter inquiry;
msg.error.inquiry.msg.invalid;The inquiry message can't include < and >;
msg.youtube.sample.placeholder;https://www.youtube.com/xyz (or) https://www.youtube.com/watch?v=xyz;
lbl.download.chats;Download Chats;
msg.attendee.information.not.required.detail.help.text;Attendee information not required for <strong>{formattedHiddenTicketClassNamesString}</strong>;
lbl.enter.social.site.url;Enter a {socialSite} URL;
msg.valid.youtube.channel;The YouTube URL you entered is invalid;
msg.youtube.channel.too.long;The YouTube URL cannot exceed 75 characters;
lbl.user.note;Note;
lbl.description;Description;
lbl.title;Title;
lbl.add.note;Add Note;
lbl.edit.note;Edit Note;
lbl.module.note.title;{moduleName} Note;
lbl.module.notes.title;{moduleName} Notes;
lbl.my.briefcase;My Briefcase;
lbl.notes;Notes;
lbl.added.on;Added On;
msg.notes.files.and.photos.help.text;Keep track of your notes, files and photos in one place;
msg.my.notes.empty.title;No notes yet;
msg.my.notes.empty.subtitle;Notes you create will be displayed here;
lbl.number.of.notes;+{noOfNotes} Notes;
msg.add.new.note;Add new note;
msg.success.note.added;Note added;
lbl.favorite.sessions;Favorite Sessions;
lbl.add.to.favorite.sessions;Add to Favorite Sessions;
lbl.remove.from.favorite.sessions;Remove from Favorite Sessions;
msg.booth.member.details;Booth member details;
msg.success.notes.export;Notes exported;
msg.error.user.note.export;Sorry, we couldn't export your notes. Please try again later.;
msg.error.user.note.content.empty;Note content cannot be empty;
msg.error.user.note.title.too.long;Note title can't exceed 255 characters;
msg.error.user.note.content.too.long;Note content can't exceed 10000 characters;
msg.error.user.note.title.not.valid;"The note title can't include the following characters: "" < >";
msg.success.note.deleted;Note deleted;
msg.success.note.updated;Note updated;
lbl.session.notes;Session Notes;
lbl.exhibitor.notes;Exhibitor Notes;
msg.module.deleted.help.text;{moduleName} deleted;
lbl.back.to.sessions;Back to Sessions;
lbl.back.to.selected.exhibitor;Back to {exhibitorName};
lbl.my.notes;My Notes;
lbl.purpose;Purpose;
lbl.sponsors;Sponsors;
msg.enter.the.text.see.on.the.image;Enter the text you see on the image;
lbl.modified.on;Modified On;
lbl.my.likes;My Likes;
lbl.my.uploads;My Uploads;
msg.my.gallery.likes.empty;You haven't liked any images in the gallery. Begin building your collection by exploring and liking photos.;
msg.my.gallery.upload.empty;Your gallery is empty. Start by uploading a photo.;
msg.sent.download.link.desc;We've just emailed a download link to <strong>{emailId}</strong>.<br>Click the link in the email to download gallery photos in a zipped file. This link will be valid for 14 days.;
msg.error.bulk.download;Sorry, the gallery couldn't be downloaded. Please try again later.;
lbl.gallery.count;Gallery {count};
msg.module.hidden.help.text;{moduleName} unavailable;
lbl.total.amount.for.refund;Total Refund Amount;
lbl.associated.ticket.id;Associated Ticket ID;
lbl.total.tickets.amount;Total Tickets Amount;
lbl.total.sessions.amount;Total Sessions Amount;
lbl.associated.sessions;Associated Sessions;
lbl.no.of.sessions;No. of Sessions;
lbl.no.of.sessions.refunded;Total Sessions Refunded;
msg.session.registration.canceled;This session registration has been canceled;
lbl.select.sessions;Select Sessions;
lbl.picked.sessions;Picked Sessions;
lbl.other.sessions;Other Sessions;
lbl.associate.with.tickets;Associate with Tickets;
lbl.associate.session.with.ticket;Associate Sessions with Tickets;
msg.error.select.ticket;Please select a ticket;
lbl.session;Session;
msg.form.button.disabled.tooltip;This button will be enabled in the live form;
lbl.game.total.points;{gameTotalPoints} Points;
lbl.game.tasks;Game Tasks;
lbl.gamification;Gamification;
lbl.leaderboard;Leaderboard;
lbl.event.check.in;Event Check-In;
lbl.points.scored;Points Scored;
msg.game.points.leaderboard.empty;The leaderboard is empty, but it won't be for long!;
lbl.user.info;User Info;
lbl.download.expo.collateral;Download Exhibitor Collateral;
msg.schedule.meeting.with.exhibitor;Schedule meeting with exhibitor;
lbl.upload.profile.image;Upload Profile Image;
lbl.zone.check.in;Zone Check-In;
lbl.chat.with.attendee;Chat with Attendee;
msg.meet.with.attendee;Meet with attendee;
msg.congrats.to.game.winners;Congratulations <br/> to the Winners;
msg.game.leaderboard.reset.organizing.team;All scores have been reset to zero. Start earning points again!;
msg.most.active.participants;"Most active participants &#127881;";
lbl.my.activity;My Activity;
lbl.points.distribution;Points Distribution;
lbl.view.rewards;View Rewards;
lbl.congratulations;Congratulations;
msg.to.the.winners;To the Winners;
lbl.reward.for.winners;Rewards for Winners;
msg.winner.count;Winner {count};
lbl.rank.no;Rank {rankNo};
msg.no.game.task.activities.found;Oops! It looks like there aren't any activities available right now.;
msg.no.game.task.points.alloted;Game tasks are yet to be alloted by the event team;
lbl.max.occurrence;Max Occurrence;
lbl.max.alloted.points;Max Alloted Points;
msg.game.points.earned.notify.info;<strong>{points} points</strong> earned for <strong>{taskTitle}</strong>! Your total score is now <strong>{totalPoints}</strong>.;
lbl.dont.show.again;Don't Show Again;
msg.gamification.ended.info;Thanks for playing! Winners will be announced shortly.;
lbl.join.a.session;Join a Session;
lbl.bookmark.a.session;Bookmark a Session;
lbl.engage.session.qa;Engage in Session Q&A;
lbl.engage.session.poll;Engage in Session Poll;
lbl.engage.session.chat;Engage in Session Chat;
lbl.share.session.feedback;Share Session Feedback;
lbl.download.session.handout;Download Session Handout;
lbl.enter.event.space;Enter Event Space;
lbl.submit.exhibitor.inquiry;Submit Exhibitor Inquiry;
lbl.meet.with.exhibitor;Meet with Exhibitor;
lbl.badge.scan.exhibitor;Badge Scan by Exhibitor;
lbl.add.profile.bio;Add Profile Bio;
lbl.engage.event.poll;Engage in Event Poll;
lbl.comment.event.announcement;Comment on Event Announcement;
lbl.post.social.wall;Post on Social Wall;
lbl.comment.social.wall;Comment on Social Wall;
lbl.engage.discussion.channel;Engage in Discussion Channel;
lbl.enter.virtual.lounge;Enter Virtual Lounge;
msg.after.session.talk.questions.empty.header;No questions asked;
msg.participants.tab.empty;Participants from our event will be listed here;
msg.gamification.ended;Gamification has ended;
lbl.occurrence;Occurrence;
lbl.hide.profile.public;Hide Your Profile;
msg.hide.profile.public.confirm;You cannot engage in Networking and participate in Gamification if your profile visibility is turned off. Are you sure you want to hide your profile?;
lbl.game.leaderboard;Game Leaderboard;
msg.participate.gamification.after.profile.public;You are not a part of this leaderboard as your profile is set to private. To engage in gamification activities, change your profile visibility settings.;
lbl.change.privacy.pref;Change Privacy Preference;
lbl.game.participant;Game Participant;
msg.booth.admin.permissions;Update profile, invite and manage members, capture and manage leads, export lead report, manage inquires.;
msg.booth.member.permissions;Update profile, capture and manage leads, manage inquires.;
lbl.contacts;Contacts;
lbl.scan.badge;Scan Badge;
msg.scan.badge.again;Scan again;
msg.download.contact;Download contact;
msg.delete.contact;Delete contact;
msg.exchange.contact;Exchange contact;
msg.success.delete.contact;Contact deleted;
msg.success.exchange.contact;Contact exchanged;
msg.subheader.contacts.empty;Scan badges at venue to add contacts;
msg.contacts.search.empty;No contacts match your search criteria;
msg.scan.badge.error.invalid.qrcode;The QR code you scanned is invalid.;
lbl.files;Files;
msg.user.file.empty;No files added yet;
lbl.session.handouts;Session Handouts;
lbl.exhibitor.collaterals;Exhibitor Collaterals;
lbl.file;File;
lbl.added.on;Added On;
msg.success.file.added;File added to briefcase;
lbl.remove.file;Remove File;
msg.success.file.removed;File removed from briefcase;
msg.success.favorite.added;Added to favorites;
msg.success.favorite.removed;Removed from favorites;
msg.user.favorite.duplicate;You have already added this {moduleName} to your favorite list;
lbl.favorites;Favorites;
msg.remove.from.favorite;Remove from favorites;
msg.my.favorites.empty.title;Your favorites list is currently empty;
msg.success.user.favorite.export;Favorites exported;
msg.error.user.favorite.export;Sorry, we couldn't export your favorites. Please try again later.;
lbl.module.details.title;{moduleName} Details;
lbl.add.sponsor.favorites;Add Sponsor to Favorites;
lbl.add.exhibitor.favorites;Add Exhibitor to Favorites;
lbl.add.speaker.favorites;Add Speaker to Favorites;
lbl.add.participant.favorites;Add Participant to Favorites;
lbl.like.gallery.image;Like a Photo in the Gallery;
msg.add.file.to.briefcase;Add file to briefcase;
msg.remove.file.from.briefcase;Remove file from briefcase;
lbl.company.and.role;Company & Role;
msg.success.contact.shared;Contact shared;
lbl.share.your.contact;Share Your Contact;
lbl.contact.sharing;Contact Sharing;
msg.contact.sharing.settings.desc;Allow event participants to share contact by scanning your badge;
msg.scan.badge.error.header.invalid.qrcode;Invalid QR code;
msg.scan.badge.error.header.sharing.off;Contact sharing turned off;
msg.scan.badge.error.sharing.off;Kindly enable contact sharing in privacy preferences to scan badges.;
msg.change.scan.preference;Change preference;
msg.promotional.email.user.pref.enabled;Promotional emails preference is enabled;
msg.promotional.email.user.pref.disabled;Promotional emails preference is disabled;
msg.off.email.pref.mails;Get notified about event promotions, offers, and other related marketing updates.;
msg.pre.approval.or.general.tooltip;Your order can't include tickets that require approval and ready-to-register tickets at the same time.;
requires.approval.ticket;Approval required;
ph.event.name;{eventName};
msg.live.session.cannot.rehearse;Session rehearsal is not allowed for live sessions;
msg.error.child.tickets.not.associated;Primary ticket not linked with this companion ticket.;
lbl.primary.ticket;Primary Ticket;
lbl.companion.ticket;Companion Ticket;
msg.error.atleast.one.primary.ticket.class.needed;Select at least one primary ticket.;
msg.event.sign.in.web;Sign In (Web);
msg.event.sign.in.app;Sign In (Mobile App);
lbl.session.check.in;Session Check-In;
error.event.payment.complete.order.failed;Your payment has been completed, but due to a technical glitch, the order has not been placed. If you do not receive an order confirmation email within the next 30 minutes, please contact your event organizer for assistance.;
lbl.event.day;Event Day;
msg.error.field.required;Please fill {fieldName};
msg.error.max.form.field.length.reached;Wartość pola formularza nie może przekraczać {maxLengthLimit} znaków;
msg.error.form.field.not.valid;Pole formularza zawiera nieprawidłową wartość;
msg.err.accept.poc;Please indicate that you've read and consented to the purpose of data collection on this form.;
msg.error.select.field.empty;Please select an option for {fieldName};
msg.error.rating.field.value;Please select rating field value which range between minimum and maximum value.;
msg.error.min.one.type.required;Please select at least one option;
msg.error.upload.field.empty;Please select a file to upload;
msg.error.form.field.minimum.value.enter;Please enter at least {minLengthLimit} characters in the form field;
msg.error.form.field.min.value.invalid;Field value should be greator than {minValue};
msg.error.form.field.max.value.invalid;Field value should be less than {maxValue};
msg.error.form.number.field.digits.exceeded;Maximum number of digits should not exceed {digitsLength}.;
msg.error.date.field.empty;Please enter the {fieldName};
msg.error.form.date.value.is.before.start.date;Value cannot be greather than start date;
msg.error.form.select.value.invalid;Select field value is not valid;
msg.error.form.select.value.max.length.reached;Field value cannot exceed 250 characters;
msg.error.form.select.less.than.min;Values selected should be greater than or equal {minSelectionCount};
msg.error.form.address.name.empty;Address name cannot be empty;
msg.error.form.address.street.empty;Street cannot be empty;
msg.error.form.address.city.empty;City cannot be empty;
msg.error.form.address.state.empty;State cannot be empty;
msg.error.form.address.country.empty;Country cannot be empty;
msg.error.form.address.country.exclude.exceed;You can't exclude all countries from the list.;
msg.error.form.address.zipcode.empty;Please enter the zip code;
msg.error.form.address.zipcode.not.valid;Please enter a valid zip code;
msg.error.form.field.country.not.valid;Country field values are not valid;
msg.error.for.editor.limit.reached.custom.form;Form response limit reached for this email.;
msg.error.form.default.time.out.of.range;The default time must be within the allowed time range.;
lbl.slide.no;Slide {number};
page.title;{{eventName}} - {{pageName}};
lbl.a11y.prev.exhibitor;Previous Exhibitor;
lbl.a11y.next.exhibitor;Next Exhibitor;
lbl.a11y.lang.switch.btn;Language Switch Button;
lbl.a11y.notification.btn;Notification Button;
lbl.a11y.user.profile.btn;User Profile Button;
lbl.a11y.hamburger.btn;Hamburger Button;
lbl.a11y.download.app.store;Download on App Store;
lbl.a11y.download.play.store;Download on Play Store;
lbl.a11y.close.nav.menu;Close Navigation Menu;
lbl.a11y.event.date;Event Date;
lbl.a11y.event.time;Event Time;
lbl.a11y.event.countdown;Event Countdown;
lbl.a11y.click.view.session;Click to View the {sessionName} {featuredLbl};
lbl.a11y.prev.day;Go to Previous Day;
lbl.a11y.next.day;Go to next Day;
lbl.a11y.view.session;Click to View the Session {sessionName};
lbl.a11y.click.view.speaker;Click to View the Speaker {speakerName};
lbl.a11y.click.view.sponsor;Click to View the Sponsor {sponsorName};
lbl.a11y.exhibitor.page;Exhibitor Page;
lbl.a11y.face.search;Face Search;
lbl.a11y.qr.code;QR Code;
lbl.a11y.preview.print.ticket;Preview Ticket;
lbl.a11y.sponsorship.details;Sponsorship Details;
lbl.a11y.exhibitor.space;Exhibitor Space;
lbl.a11y.video.play.btn;Play Video;
lbl.a11y.leads.filter;Filter Leads;
lbl.a11y.leads.sort;Sort Leads;
lbl.a11y.meetings.settings;Meeting Settings;
lbl.a11y.hide.date.info;Hide Date;
lbl.a11y.meetings.filter;Filter Meetings;
lbl.a11y.detail.note;View Detailed Notes;
lbl.a11y.submit.comment;Submit Comment;
lbl.a11y.next.nav;Next {navLabel};
lbl.a11y.prev.nav;Previous {navLabel};
lbl.a11y.upload.expo.logo;Upload Exhibitor Logo;
lbl.a11y.change.expo.logo;Change Exhibitor Logo;
lbl.a11y.upload.expo.banner;Upload Exhibitor Banner Image;
lbl.a11y.change.expo.banner;Change Exhibitor Banner Image;
lbl.a11y.click.view.expo;Click to View the Exhibitor {expoName};
lbl.a11y.click.view.member;Click to View the Booth Member {memberName};
lbl.a11y.preview.file;Preview File;
lbl.a11y.edit.your.tkt;Edit Your Ticket;
lbl.a11y.download.your.tkt;Download Your Ticket;
lbl.a11y.print.your.tkt;Print Your Ticket;
lbl.a11y.speaker.view.profile;View Speaker Profile {speakerName};
lbl.a11y.click.gallery.image;Click to View Image {imageName} from Gallery;
lbl.a11y.click.add.gallery.image;Click to Add Image to List;
lbl.a11y.click.switch.tab;Click to Switch Tab;
lbl.a11y.click.close;Click to Close;
lbl.a11y.availability.list;Availability List;
lbl.a11y.edit.note;Edit Note;
lbl.a11y.delete.note;Delete Note;
lbl.a11y.view.fav;View {favName};
lbl.a11y.open.file;Open {fileName} File;
lbl.a11y.edit.order;Edit Order;
lbl.a11y.update.transaction.id;Update Transaction ID;
lbl.a11y.expo.form;Exhibitor Profile Form;
lbl.a11y.leave.booth;Leave Booth;
lbl.a11y.enter.placeholder;Enter {fieldName};
lbl.a11y.close.popup;Close Popup;
lbl.a11y.enable.availability;Enable {day} Availability;
lbl.a11y.delete.video;Delete Video;
lbl.a11y.edit.video;Edit Video;
lbl.a11y.delete.availability;Delete Availability;
lbl.interaction;Interaction;
lbl.navigation;Navigation;
lbl.navigate.header;Header (Nav Bar);
lbl.navigate.footer;Footer;
lbl.home.page;Home Page;
lbl.navigate.user.profile;User Profile (Signed-in State);
lbl.activate.link.button;Activate Link or Button;
msg.spacebar.actions;Next Section/ Activate Button/ Expand Menu;
lbl.previous.section;Previous Section;
lbl.close.modals.dialogs;Close Modals/Dialogs;
lbl.navigate.list.up;Navigate List Up;
lbl.navigate.list.down;Navigate List Down;
msg.navigate.forward;Forward through Interactive Sections;
msg.navigate.backward;Backward through Interactive Sessions;
lbl.all.shortcuts;All;
msg.no.search.results;No search results found;
lbl.keyboard.shortcuts;Keyboard Shortcuts;
lbl.search.shortcuts;Search Shortcuts;
lbl.a11y.click.change.date;Click to Change Data;
lbl.a11y.click.change.time;Click to Change Time;
lbl.gamification.starts.in;Gamification Starts In;
lbl.gamification.ends.in;Gamification Ends In;
msg.game.dashboard.screenname.and.password.verify.desc;Enter your preferred Leaderboard Page Name and the Password provided by the event organizer to access the Gamification Leaderboard;
msg.err.game.dashboard.password.mismatch;The Game Dashboard password does not match.;
msg.game.leaderboard.no.winners.info;There are no winners to show;
msg.gamification.paused.at.the.moment;Gamification has been paused by the event organizer. Please check back later to view the leaderboard.;
lbl.clear.search;Clear Search;
lbl.user.profile;User Profile;
lbl.invoke.shortcuts;Invoke Shortcuts;
lbl.list.view;List View;
lbl.event.copyright.content;@ Copyright {eventYear} {eventName};
lbl.leads.booth.members;Leads by Booth Members;
lbl.lead.details;Lead Details;
lbl.about.partner;About Partner;
lbl.view;View;
lbl.enter.channel.name;Enter Channel Name;
lbl.enter.your.mail;Enter Your Email;
lbl.try.another.mail;Try Another Mail;
lbl.recent.events;Recent Events;
lbl.loading.messages;Loading messages...;
lbl.loading.availability;Loading availability...;
lbl.no.comments.yet;No Comments Yet;
lbl.profile.not.found;Profile Not Found;
lbl.no.speakers.found;No Speakers Found;
lbl.loading.event.data;Loading Event Data;
msg.close.app.contact.support;Please close the app and try again. If the problem persists, contact support.;
lbl.meeting.preferences;Meeting Preferences;
lbl.availability.meetings;Availability for Meetings;
msg.availability.1on1.meetings;Let participants know that you'll be available for 1-on-1 meetings;
msg.configure.meeting.duration;All your meetings will be automatically set to the duration provided here. You can always choose to extend or end a meeting beyond the planned duration.;
msg.config.availability.meetings;Configure your availability for meetings during the event. Event participants can choose to book meetings with you during this time;
lbl.suggestion.interest;Suggestions Based on Your Interests;
lbl.speaker.overview;Speaker Overview;
lbl.brochures;Brochures;
lbl.sponsor.details;Sponsor Details;
lbl.visit.website;Visit Website;
msg.lead.insights;Here are your lead insights;
lbl.lead.scanned;Leads Scanned;
lbl.export;Export;
lbl.add.lead;Add Lead;
lbl.login.to.view.profiles;Login to View Profiles;
msg.err.max.selection.exceeded;You've exceeded the maximum number of selections allowed for this field.;
lbl.max.selections;Maximum Selections: {maxSelections};
lbl.offer.ends.on;Offer Ends On;
lbl.limited.quantity;Limited Quantity;
lbl.offer.starts.from;Offer Starts From;
msg.info.discount.on.offer.not.applicable;Discount will not be applied for offer applied tickets.;
lbl.applied.count;Applied Count;
lbl.applied.count.desc;Offer Has Been Applied to {count} Ticket(s).;
lbl.offer.starts.after;"<Span Class=""text-tiny"">Offer Starts When</span> <b>{previousOffer}</b> Ends.";
lbl.next.offer;Next Offer;
msg.error.current.order.tickets.offer.unavailable.prompt;Sorry, the number of available tickets in the {ticketClassName} - {offerName} ticket class is fewer than the quantity that you have entered. Please change the quantity.;
msg.error.current.order.tickets.offer.unavailable.error.complete.payment;We regret to inform you that the {offerName} offer is no longer available, and you cannot complete your payment at this time. Please contact your event organizer for further information.#Offer End;
lbl.desc.more.details;More Details;
msg.error.current.order.tickets.offer.unavailable.error.complete.payment;We regret to inform you that the {offerName} offer is no longer available, and you cannot complete your payment at this time. Please contact your event organizer for further information.#Offer End;
lbl.page.name;Page Name;
lbl.enter.page.name;Enter Page Name;
lbl.enter.page;Enter Page;
msg.error.form.field.current.time.invalid;Current time is not within the allowed time range;
lbl.desc.more.details;More Details;
error.event.payment.complete.order.failed;Your payment has been completed, but due to a technical glitch, the order has not been placed. If you do not receive an order confirmation email within the next 30 minutes, please contact your event organizer for assistance.;
lbl.cancellation.fee.deduction;Cancellation Fee;
msg.cncl.policy.day.limit;Policy Number {policyNum} must have a range between {minDays} and {maxDays} days.;
msg.cncl.policy.value.limit;Policy Number {policyNum} must have a deduction percentage between 0% and 100%.;
msg.applied.cancellation.policy;As per the cancellation policy stated at the time of purchase, a fee of {deductionValue}% has been applied because the order was cancelled {deductionRange} days before the event start date.;
msg.applied.custom.cancellation.policy;A custom cancellation fee of {deductionValue}% was applied, as approved by the event organizer during the cancellation request review.;
msg.error.invalid.cancellation.policy.type;Please enter a valid cancellation policy type.;
msg.error.invalid.cancellation.range;Please select a valid cancellation policy date range.;
msg.error.invalid.cancellation.value;Please select a valid deduction amount for the cancellation policy.;
msg.error.invalid.cancellation.value.type;Please select a valid deduction type for the cancellation policy.;
lbl.cancellation.policy.details;Cancellation Policy;
lbl.add.cancellation.policy;Add Cancellation Policy;
msg.cancellation.policy.time;Cancellation Time;
msg.cancellation.policy.days.before;Day(s) Prior to the Event Start Date;
lbl.cancellation.policy;Cancellation Policy;
lbl.no.cancellation.policy;No Cancellation Policy;
lbl.order.cannot.be.cancelled;Cancellation is No Longer Available as the Allowed Cancellation Period Has Passed.;
msg.error.order.refund.date.expired;We can't cancel your order as the cancellation period has expired.;
msg.error.refund.comment.max;Your comment exceeds the allowed length. Please shorten it to continue.;
lbl.current.ticket.details;Current Ticket Details;
lbl.price.comparision;Price Comparison;
lbl.current.price;Current Price;
lbl.new.price;New Price;
lbl.prorate.amount.to.pay;Prorated Amount to Pay;
msg.error.upgrade.downgrade.description.too.long;The description can't exceed {length} characters;
lbl.change.ticket;Change Ticket;
lbl.payment.options;Payment Options;
lbl.pay.later;Pay Later;
lbl.mark.as.paid;Mark as Paid;
lbl.select.ticket.class;Select Ticket Class;
lbl.change.ticket.to;Change Ticket Class To;
msg.success.change.ticket.class;Ticket class changed;
msg.error.change.ticket.class;Sorry, the ticket class couldn't be changed. Please try again later.;
msg.error.change.ticket.class.select;Please select a ticket class;
msg.upgrade.downgrade.refund.header;Refund Initiated;
msg.upgrade.downgrade.refund.desc;A refund of {refundAmount} is processesing.;
lbl.apply;Apply;
msg.error.refund.comment.max;Your comment exceeds the allowed length. Please shorten it to continue.;
msg.payment.continue.to.pay;Continue To Pay;
lbl.next.slide;Next Slide;
lbl.prev.slide;Previous Slide;
lbl.a11y.tkt.classes;Ticket Classes;
lbl.a11y.refresh;Refresh Button;
lbl.a11y.go.to.slide;Go to Slide {slide};
lbl.powered.by;Powered by Backstage;
lbl.a11y.main.navigation;Main Navigation;
lbl.carousel.slide;Slide {currentSlide} of {totalSlide};
lbl.total.amount.refunded;Total Amount Refunded;
lbl.cancellation.requested;Cancellation Requested;
lbl.base.amount;Base Amount;
lbl.discounted.amount;Discounted Amount;
lbl.adjusted.amount;Adjusted Amount;
lbl.refund.details;Refund Details;
msg.cancellation.requested.successfully;Cancellation Request has been submitted successfully.;
lbl.pending.approval;Pending Approval;
lbl.partially.approved;Partially Approved;
lbl.associated.attendee;Associated Attendee;
lbl.deny.canc.req;Deny Cancellation Request;
lbl.approve.canc.req;Approve Cancellation Requests;
lbl.approve;Approve;
lbl.sessions;Sessions;
msg.canc.req.amount;Total requested refund amount after applicable deductions and taxes. A detailed breakdown is provided in the receipt below.;
msg.modify.canc.fee.default;You may modify the Cancellation Fee applicable to the selected items.;
msg.approval.comment;Enter comment for this approval;
msg.denial.reason;Enter reason for denial;
lbl.view.canc.req;View Cancellation Request;
msg.canc.req.approval.success;Cancellation Requests approved successfully.;
msg.canc.req.denial.success;Cancellation Request denied successfully.;
msg.canc.req.comment.required;Please enter a comment for Approving/Rejecting requests.;
msg.canc.req.atleast.one.tkt.required;Please select atleast one ticket for approval.;
msg.canc.req.invalid.canc.fee;Please enter a valid Cancellation Fee for approval.;
msg.canc.req.invalid.refund.amt;Total approval amount for the selected requests in invalid.;
lbl.enable.canc.approval;Enable Cancellation Approval;
lbl.request.review;Request Review;
lbl.approval.comment;Approval Comment;
lbl.approved.amt;Approved Amount;
lbl.approved.items;Approved Items;
lbl.cancellation.fee.applied;Cancellation Fee Applied;
lbl.denial.reason;Denial Reason;
lbl.denied.items;Denied Items;
lbl.refund.summary;Refund Summary;
lbl.request.overview;Request Overview;
lbl.request.status;Request Status;
lbl.requested.amount;Requested Amount;
lbl.total.approved.amt;Total Approved Amount;
lbl.total.refund.amt;Total Refund Amount;
lbl.total.requested.amt;Total Requested Amount;
lbl.total.requested.amt.for.approved;Total Requested Amount (For Approved Items);
lbl.actions;Actions;
lbl.requested.on;Requested On;
lbl.request.id;Request ID;
lbl.requested.by;Requested By;
lbl.sub.total;Subtotal;
msg.cancellation.approval.enabled;Note: Cancellation requests are subject to event organizer's approval and will be processed only after approval is granted.;
lbl.submit.request;Submit Request;
lbl.pending.items;Pending Items;
msg.child.pending.approval;All session cancellation requests must be reviewed before tickets can be cancelled.;
lbl.collateral;Collateral;
lbl.total.amount.refunded;Total Amount Refunded;
lbl.cancellation.requested;Cancellation Requested;
lbl.base.amount;Base Amount;
lbl.discounted.amount;Discounted Amount;
lbl.adjusted.amount;Adjusted Amount;
lbl.refund.details;Refund Details;
msg.cancellation.requested.successfully;Cancellation Request has been submitted successfully.;
lbl.pending.approval;Pending Approval;
lbl.partially.approved;Partially Approved;
lbl.associated.attendee;Associated Attendee;
lbl.deny.canc.req;Deny Cancellation Request;
lbl.approve.canc.req;Approve Cancellation Requests;
lbl.approve;Approve;
lbl.sessions;Sessions;
msg.canc.req.amount;Total requested refund amount after applicable deductions and taxes. A detailed breakdown is provided in the receipt below.;
msg.modify.canc.fee.default;You may modify the Cancellation Fee applicable to the selected items.;
msg.approval.comment;Enter comment for this approval;
msg.denial.reason;Enter reason for denial;
lbl.view.canc.req;View Cancellation Request;
msg.canc.req.approval.success;Cancellation Requests approved successfully.;
msg.canc.req.denial.success;Cancellation Request denied successfully.;
msg.canc.req.comment.required;Please enter a comment for Approving/Rejecting requests.;
msg.canc.req.atleast.one.tkt.required;Please select atleast one ticket for approval.;
msg.canc.req.invalid.canc.fee;Please enter a valid Cancellation Fee for approval.;
msg.canc.req.invalid.refund.amt;Total approval amount for the selected requests in invalid.;
lbl.enable.canc.approval;Enable Cancellation Approval;
lbl.request.review;Request Review;
lbl.approval.comment;Approval Comment;
lbl.approved.amt;Approved Amount;
lbl.approved.items;Approved Items;
lbl.cancellation.fee.applied;Cancellation Fee Applied;
lbl.denial.reason;Denial Reason;
lbl.denied.items;Denied Items;
lbl.refund.summary;Refund Summary;
lbl.request.overview;Request Overview;
lbl.request.status;Request Status;
lbl.requested.amount;Requested Amount;
lbl.total.approved.amt;Total Approved Amount;
lbl.total.refund.amt;Total Refund Amount;
lbl.total.requested.amt;Total Requested Amount;
lbl.total.requested.amt.for.approved;Total Requested Amount (For Approved Items);
lbl.actions;Actions;
lbl.requested.on;Requested On;
lbl.request.id;Request ID;
lbl.requested.by;Requested By;
lbl.sub.total;Subtotal;
msg.cancellation.approval.enabled;Note: Cancellation requests are subject to event organizer's approval and will be processed only after approval is granted.;
lbl.submit.request;Submit Request;
lbl.pending.items;Pending Items;
msg.child.pending.approval;All session cancellation requests must be reviewed before tickets can be cancelled.;
lbl.rsvp;RSVP;
lbl.your.response;Your Response;
lbl.rsvp.response;RSVP Response;
lbl.are.you.attending;Are You Attending?;
lbl.guest.information;Guest Information;
